Brand,Product Name,Current Price,Original Price,Shipping,Link
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3060 V2 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$945.00,,Get it ,https://www.amazon.ca/Graphics-DisplayPort-Bearings-Military-Grade-Certification/dp/B0985VND1G
ASUS,"ASUS ROG Strix NVIDIA GeForce RTX 3050 OC Edition Gaming Graphics Card - PCIe 4.0, 8GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.7-Slot, Super Alloy Power II, GPU Tweak II",,,,https://www.amazon.ca/Strix-NVIDIA-GeForce-Gaming-Graphics/dp/B09R92F6ZF
NVIDIA,NVIDIA GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Graphics Card - Titanium and Black,,,,https://www.amazon.ca/NVIDIA-GeForce-GDDR6X-Express-Graphics/dp/B08JCRHZGW
ASUS,ASUS TUF Gaming NVIDIA GeForce RTX 3080 Ti OC Edition 12GB GDDR6X Graphics Card,"$2,229.00","$2,789.99",Get it ,https://www.amazon.ca/Gaming-NVIDIA-GeForce-GDDR6X-Graphics/dp/B09PZ9Z96G
ASUS,"ASUS ROG Strix NVIDIA GeForce RTX 3080 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II)",,,,https://www.amazon.ca/GeForce-Graphics-DisplayPort-Axial-tech-2-9-Slot/dp/B096L7M4XR
ASUS,"ASUS ROG Strix NVIDIA GeForce RTX 3070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II)",,,,https://www.amazon.ca/GeForce-Graphics-DisplayPort-Axial-tech-2-9-Slot/dp/B096YQ6WVW
ZOTAC,"ZOTAC Gaming GeForce RTX™ 3080 Ti AMP Holo 12GB GDDR6X 384-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30810F","$2,152.71","$2,590.03",Lowest price in 30 days,https://www.amazon.ca/Graphics-HoloBlack-IceStorm-Advanced-ZT-A30810F-10P/dp/B08V1ZWGVR
 ,New 2021 GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Graphics Card Titanium and Black,"$2,700.00",,Get it ,https://www.amazon.ca/GeForce-GDDR6X-Express-Graphics-Titanium/dp/B096L83WV8
EVGA,"EVGA GeForce RTX 3080 12GB FTW3 Ultra Gaming, 12G-P5-4877-KL, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, LHR",,,,https://www.amazon.ca/EVGA-GeForce-12G-P5-4877-KL-Technology-Backplate/dp/B09Q3DH7V3
MSI,MSI GeForce RTX 3070 Gaming Z Trio 8G LHR GDDR6 1845 MHz Boost 14 Gbps 256-bit 3xDP1.4 HDMI PCIE4.0 (RTX 3070 Gaming Z Trio 8G LHR),,,,https://www.amazon.ca/MSI-GeForce-RTX-3070-256-bit/dp/B097MYTZMW
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3070 V2 OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6, LHR, HDMI 2.1 , DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)","$1,244.00",,Get it ,https://www.amazon.ca/Graphics-DisplayPort-Bearings-Military-Grade-Certification/dp/B09865Q9GS
ZOTAC,"ZOTAC Gaming GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card, Super Compact, ZT-T16600K-10M",$488.44,$629.99,Get it ,https://www.amazon.ca/GeForce-192-bit-Graphics-Compact-ZT-T16600K-10M/dp/B07XV7FNR2
ZOTAC,"ZOTAC Gaming GeForce RTX™ 3070 Ti AMP Holo 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30710F-10P","$1,252.02","$1,359.99",Get it ,https://www.amazon.ca/Graphics-HoloBlack-IceStorm-Advanced-ZT-A30710F-10P/dp/B096TZHXYN
GIGABYTE,"GIGABYTE AORUS RTX 3080 Gaming Box (REV2.0) eGPU, WATERFORCE All-in-One Cooling System, LHR, Thunderbolt 3, GV-N3080IXEB-10GD REV2.0 External Graphics Card","$1,948.42",,FREE Shipping by Amazon,https://www.amazon.ca/GIGABYTE-REV2-0-WATERFORCE-Thunderbolt-GV-N3080IXEB-10GD/dp/B09CC3VLPT
EVGA,"EVGA GeForce RTX 3080 FTW3 Ultra Gaming, 10G-P5-3897-KL, 10GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, LHR",,,,https://www.amazon.ca/EVGA-GeForce-10G-P5-3897-KL-Technology-Backplate/dp/B097S6JDMV
GIGABYTE,"GIGABYTE AORUS GeForce RTX 3080 Master 10G (REV3.0) Graphics Card, Max Covered Cooling, LHR, 10GB 320-bit GDDR6X, GV-N3080AORUS M-10GD REV3.0 Video Card",,,,https://www.amazon.ca/GIGABYTE-GeForce-Graphics-Covered-GV-N3080AORUS/dp/B098V2PFKW
MSI,MSI GeForce RTX 3080 Ti Gaming X Trio 12G GDDR6X - 1770 MHz DisplayPort x 3 (v1.4a) / HDMI 2.1 x 1 - RTX 3080 Ti Gaming X Trio 12G,"$2,109.99",,FREE Shipping by Amazon,https://www.amazon.ca/MSI-RTX-3080-Gaming-Trio/dp/B095VZ6F73
MSI,"MSI GeForce RTX 3070 Ti Gaming X Trio 8G, GDDR6X, 1830 MHz PCI Express 4.0, 256-Bit, 1 x HDMI 2.1, 3 x DPort 1.4a, 8-pin x2","$1,487.88",,Get it ,https://www.amazon.ca/MSI-RTX-3070-Gaming-Trio/dp/B096HJC18P
ASUS,Asus TUF Gaming GeForce GTX 1650 Super Overclocked 4GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1650S-O4G-GAMING),,,,https://www.amazon.ca/Asus-GeForce-Overclocked-Graphics-TUF-GTX1650S-O4G-GAMING/dp/B081KY5L57
MSI,MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Graphics Card (RTX 3060 Ventus 2X 12G OC),$870.00,,Get it ,https://www.amazon.ca/MSI-GeForce-RTX-3060-12G/dp/B08WPRMVWB
GIGABYTE,Gigabyte GeForce RTX 3080 Turbo 10G (rev. 2.0) NVIDIA 10GB GDDR6X Graphic Card,,,,https://www.amazon.ca/Gigabyte-GeForce-NVIDIA-GDDR6X-Graphic/dp/B0996Z13TJ
MSI,MSI Gaming GeForce RTX 3080 10GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ventus 3X 10G OC),,,,https://www.amazon.ca/MSI-GeForce-320-Bit-Architecture-Graphics/dp/B08HR5SXPS
 ,"XFX Speedster MERC319 AMD Radeon RX 6900 XT Black Gaming Graphics Card with 16GB GDDR6, HDMI, 3xDP, AMD RDNA 2 RX-69XTATBD9","$1,849.99",,Get it by ,https://www.amazon.ca/XFX-Speedster-MERC319-Graphics-RX-69XTATBD9/dp/B09BZP8KZG
GIGABYTE,Gigabyte GeForce RTX 3080 Ti Gaming OC 12G NVIDIA 12GB GDDR6X Graphics Card,"$2,811.36",,Get it ,https://www.amazon.ca/Gigabyte-GeForce-3080-GAMING-Graphics/dp/B095X51RHY
ZOTAC,"ZOTAC Gaming GeForce RTX 3070 Twin Edge OC 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, White LED Logo Lighting, ZT-A30700H-10P","$1,988.88",,Get it by ,https://www.amazon.ca/Graphics-IceStorm-Advanced-Lighting-ZT-A30700H-10P/dp/B08LF1CWT2
ZOTAC,"ZOTAC Gaming GeForce RTX™ 3080 Ti Trinity 12GB GDDR6X 384-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30810D-10P",,,,https://www.amazon.ca/Graphics-IceStorm-Advanced-Lighting-ZT-A30810D-10P/dp/B0964DB2P9
ZOTAC,"ZOTAC Gaming GeForce RTX™ 3070 Ti Trinity OC 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30710J-10P","$1,230.41","$1,448.31",FREE Shipping by Amazon,https://www.amazon.ca/Graphics-IceStorm-Advanced-Lighting-ZT-A30710J-10P/dp/B09CML48LD
EVGA,"EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming, 08G-P5-3797-KL, 8GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate","$1,375.00","$1,750.00",Get it ,https://www.amazon.ca/EVGA-GeForce-08G-P5-3797-KL-Technology-Backplate/dp/B096WM6JFS
ASUS,"ASUS ROG Strix LC NVIDIA GeForce RTX 3080 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Full-Coverage Cold Plate, 240mm Radiator, 600mm tubing, GPU Tweak II)",,,,https://www.amazon.ca/GeForce-Graphics-DisplayPort-Full-Coverage-Radiator/dp/B097NLSLLX
ASUS,"ASUS ROG STRIX NVIDIA GeForce RTX™ 3080 White OC Edition Gaming Graphics Card (PCIe 4.0, 10GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, White color scheme, Axial-tech Fan Design, 2.9-slot, Super Alloy Power",,,,https://www.amazon.ca/GeForce-Graphics-DisplayPort-Axial-tech-2-9-slot/dp/B08R14HX34
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 3060 Ti V2 OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",,,,https://www.amazon.ca/Graphics-DisplayPort-Bearings-Military-Grade-Certification/dp/B0985YLRB3
MSI,"MSI GeForce RTX 3060 Ti Ventus 3X 8G OC LHR, GDDR6X, 1695 MHz PCI Express 4.0, 256-Bit, 1 x HDMI 2.1, 3 x DPort 1.4a, 8-pin x2",$999.99,,Get it ,https://www.amazon.ca/MSI-RTX-3060-Ti-LHR/dp/B09BK9X9K9
EVGA,"EVGA GeForce RTX 3070 FTW3 Ultra Gaming, 08G-P5-3767-KL, 8GB GDDR6, iCX3 Technology, ARGB LED, Metal Backplate, LHR",,,,https://www.amazon.ca/EVGA-GeForce-08G-P5-3767-KL-Technology-Backplate/dp/B097CLCXDX
